locus_tag	ftype	length_bp	gene	EC_number	COG	product
MLDGMJPK_00001	CDS	1014				hypothetical protein
MLDGMJPK_00002	CDS	618	gmk	2.7.4.8	COG0194	Guanylate kinase
MLDGMJPK_00003	CDS	240	tatA			Sec-independent protein translocase protein TatA
MLDGMJPK_00004	CDS	1593	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
MLDGMJPK_00005	CDS	309	mdtI		COG2076	Spermidine export protein MdtI
MLDGMJPK_00006	CDS	342	mdtJ		COG2076	Spermidine export protein MdtJ
MLDGMJPK_00007	CDS	708			COG0217	putative transcriptional regulatory protein
MLDGMJPK_00008	CDS	483	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
MLDGMJPK_00009	CDS	1422				hypothetical protein
MLDGMJPK_00010	CDS	228				hypothetical protein
MLDGMJPK_00011	CDS	603	dedA		COG0586	Protein DedA
MLDGMJPK_00012	CDS	966	ldh	1.1.1.27		L-lactate dehydrogenase
MLDGMJPK_00013	CDS	777	yjjP		COG2966	Inner membrane protein YjjP
MLDGMJPK_00014	CDS	495				hypothetical protein
MLDGMJPK_00015	CDS	264				hypothetical protein
MLDGMJPK_00016	CDS	951	czcD		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
MLDGMJPK_00017	CDS	195				hypothetical protein
MLDGMJPK_00018	CDS	2106	copA_1	7.2.2.8		putative copper-importing P-type ATPase A
MLDGMJPK_00019	CDS	1902				hypothetical protein
MLDGMJPK_00020	CDS	1536				hypothetical protein
MLDGMJPK_00021	CDS	1299	rho	3.6.4.-	COG1158	Transcription termination factor Rho
MLDGMJPK_00022	CDS	2352	copA_2	7.2.2.8	COG2217	Copper-exporting P-type ATPase
MLDGMJPK_00023	CDS	207				hypothetical protein
MLDGMJPK_00024	CDS	303	cyf			Cytochrome c-553
MLDGMJPK_00025	CDS	561	gmhB	3.1.3.83		D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase
MLDGMJPK_00026	CDS	954	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
MLDGMJPK_00027	CDS	1386	hldE		COG2870	Bifunctional protein HldE
MLDGMJPK_00028	CDS	561	gmhA1	5.3.1.28	COG0279	Phosphoheptose isomerase 1
MLDGMJPK_00029	CDS	960	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
MLDGMJPK_00030	CDS	825	epsJ	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
MLDGMJPK_00031	CDS	324				hypothetical protein
MLDGMJPK_00032	CDS	528				hypothetical protein
MLDGMJPK_00033	CDS	1611	kdsB_1	2.7.7.38		8-amino-3,8-dideoxy-manno-octulosonate cytidylyltransferase
MLDGMJPK_00034	CDS	1116	siaA	3.2.1.183	COG0381	UDP-N-acetylglucosamine 2-epimerase
MLDGMJPK_00035	CDS	1032	legI_1	2.5.1.101	COG2089	N,N'-diacetyllegionaminic acid synthase
MLDGMJPK_00036	CDS	885				hypothetical protein
MLDGMJPK_00037	CDS	342	epsH	2.4.-.-	COG0463	Putative glycosyltransferase EpsH
MLDGMJPK_00038	CDS	585				hypothetical protein
MLDGMJPK_00039	CDS	1170				hypothetical protein
MLDGMJPK_00040	CDS	996				hypothetical protein
MLDGMJPK_00041	CDS	1173				hypothetical protein
MLDGMJPK_00042	CDS	1548				hypothetical protein
MLDGMJPK_00043	CDS	888	lpxL	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
MLDGMJPK_00044	CDS	1029	rfaC	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
MLDGMJPK_00045	CDS	795				hypothetical protein
MLDGMJPK_00046	CDS	987	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
MLDGMJPK_00047	CDS	1695	pglK	7.5.2.5	COG1132	Protein glycosylation K
MLDGMJPK_00048	CDS	1077	pglH	2.4.1.292	COG0438	GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase
MLDGMJPK_00049	CDS	930	pglI	2.4.1.293	COG0463	GalNAc(5)-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase
MLDGMJPK_00050	CDS	1098	pglJ	2.4.1.291	COG0438	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
MLDGMJPK_00051	CDS	2142	pglB	2.4.99.19	COG1287	Undecaprenyl-diphosphooligosaccharide--protein glycotransferase
MLDGMJPK_00052	CDS	1131	pglA	2.4.1.290		N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase
MLDGMJPK_00053	CDS	603	pglC	2.7.8.36	COG2148	Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase
MLDGMJPK_00054	CDS	588	pglD	2.3.1.203	COG0110	UDP-N-acetylbacillosamine N-acetyltransferase
MLDGMJPK_00055	CDS	609				hypothetical protein
MLDGMJPK_00056	CDS	1161	pglE	2.6.1.34	COG0399	UDP-N-acetylbacillosamine transaminase
MLDGMJPK_00057	CDS	1773	pglF	4.2.1.135	COG1086	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
MLDGMJPK_00058	CDS	894				hypothetical protein
MLDGMJPK_00059	CDS	393	cheY		COG0784	Chemotaxis protein CheY 
MLDGMJPK_00060	CDS	846	rsmC	2.1.1.172		Ribosomal RNA small subunit methyltransferase C
MLDGMJPK_00061	CDS	1938	ftsH_1	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
MLDGMJPK_00062	CDS	618	psd_1	4.1.1.65		Phosphatidylserine decarboxylase proenzyme
MLDGMJPK_00063	CDS	729				hypothetical protein
MLDGMJPK_00064	CDS	798				hypothetical protein
MLDGMJPK_00065	CDS	360	msrB	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
MLDGMJPK_00066	CDS	639				hypothetical protein
MLDGMJPK_00067	CDS	1290	bdlA		COG0840	Biofilm dispersion protein BdlA
MLDGMJPK_00068	CDS	648	aat	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
MLDGMJPK_00069	CDS	2130	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
MLDGMJPK_00070	CDS	291	clpS		COG2127	ATP-dependent Clp protease adapter protein ClpS
MLDGMJPK_00071	CDS	603				hypothetical protein
MLDGMJPK_00072	CDS	453	smpB		COG0691	SsrA-binding protein
MLDGMJPK_00073	CDS	768	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
MLDGMJPK_00074	CDS	228	csrA		COG1551	Translational regulator CsrA
MLDGMJPK_00075	CDS	819	truB	5.4.99.25		tRNA pseudouridine synthase B
MLDGMJPK_00076	CDS	2076	pcrA	3.6.4.12		ATP-dependent DNA helicase PcrA
MLDGMJPK_00077	CDS	438				hypothetical protein
MLDGMJPK_00078	CDS	1722	pepF1	3.4.24.-		Oligoendopeptidase F, plasmid
MLDGMJPK_00079	CDS	888	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
MLDGMJPK_00080	CDS	1224	sstT		COG3633	Serine/threonine transporter SstT
MLDGMJPK_00081	CDS	1197	metK	2.5.1.6		S-adenosylmethionine synthase
MLDGMJPK_00082	CDS	1326	lnt	2.3.1.269		Apolipoprotein N-acyltransferase
MLDGMJPK_00083	CDS	162				hypothetical protein
MLDGMJPK_00084	CDS	1581	secD		COG0342	Protein translocase subunit SecD
MLDGMJPK_00085	CDS	972	secF		COG0341	Protein translocase subunit SecF
MLDGMJPK_00086	CDS	2430	leuS	6.1.1.4		Leucine--tRNA ligase
MLDGMJPK_00087	CDS	513				hypothetical protein
MLDGMJPK_00088	CDS	1398				hypothetical protein
MLDGMJPK_00089	CDS	1173				hypothetical protein
MLDGMJPK_00090	CDS	903				hypothetical protein
MLDGMJPK_00091	CDS	288				hypothetical protein
MLDGMJPK_00092	CDS	2937	mfd	3.6.4.-		Transcription-repair-coupling factor
MLDGMJPK_00093	CDS	762				hypothetical protein
MLDGMJPK_00094	CDS	687	nth_1	4.2.99.18		Endonuclease III
MLDGMJPK_00095	CDS	813	thiD	2.7.1.49		Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
MLDGMJPK_00096	CDS	633	thiE_1	2.5.1.3		Thiamine-phosphate synthase
MLDGMJPK_00097	CDS	630				hypothetical protein
MLDGMJPK_00098	CDS	387				hypothetical protein
MLDGMJPK_00099	CDS	663				hypothetical protein
MLDGMJPK_00100	CDS	303				hypothetical protein
MLDGMJPK_00101	CDS	732	proC	1.5.1.2		Pyrroline-5-carboxylate reductase
MLDGMJPK_00102	CDS	390	fliW		COG1699	Flagellar assembly factor FliW
MLDGMJPK_00103	CDS	648	bamD			Outer membrane protein assembly factor BamD
MLDGMJPK_00104	CDS	2376	lon	3.4.21.53	COG0466	Lon protease
MLDGMJPK_00105	CDS	261	rpsR		COG0238	30S ribosomal protein S18
MLDGMJPK_00106	CDS	552	ssb		COG0629	Single-stranded DNA-binding protein
MLDGMJPK_00107	CDS	378	rpsF		COG0360	30S ribosomal protein S6
MLDGMJPK_00108	CDS	438				hypothetical protein
MLDGMJPK_00109	CDS	1356	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
MLDGMJPK_00110	CDS	873			COG2990	putative protein
MLDGMJPK_00111	CDS	1107	mmpA	3.4.24.-	COG0750	Metalloprotease MmpA
MLDGMJPK_00112	CDS	537	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
MLDGMJPK_00113	CDS	606		1.-.-.-		Putative NAD(P)H nitroreductase
MLDGMJPK_00114	CDS	621	yfkO	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YfkO
MLDGMJPK_00115	CDS	426				hypothetical protein
MLDGMJPK_00116	CDS	1089	cinA			Putative competence-damage inducible protein
MLDGMJPK_00117	CDS	2754	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
MLDGMJPK_00118	CDS	111				hypothetical protein
MLDGMJPK_00119	CDS	1362	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
MLDGMJPK_00120	CDS	1458	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
MLDGMJPK_00121	CDS	174	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
MLDGMJPK_00122	CDS	777				hypothetical protein
MLDGMJPK_00123	CDS	1974				hypothetical protein
MLDGMJPK_00124	CDS	1299	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
MLDGMJPK_00125	CDS	351				hypothetical protein
MLDGMJPK_00126	CDS	2208	mutS2	3.1.-.-	COG1193	Endonuclease MutS2
MLDGMJPK_00127	CDS	4020				hypothetical protein
MLDGMJPK_00128	CDS	702	cobB	2.3.1.286	COG0846	NAD-dependent protein deacylase
MLDGMJPK_00129	CDS	600				hypothetical protein
MLDGMJPK_00130	CDS	1098	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
MLDGMJPK_00131	CDS	192				hypothetical protein
MLDGMJPK_00132	CDS	804				hypothetical protein
MLDGMJPK_00133	CDS	777	thiG	2.8.1.10	COG2022	Thiazole synthase
MLDGMJPK_00134	CDS	1146	thiH	4.1.99.19	COG1060	2-iminoacetate synthase
MLDGMJPK_00135	CDS	606	thiE_2	2.5.1.3		Thiamine-phosphate synthase
MLDGMJPK_00136	CDS	891	rhaS			HTH-type transcriptional activator RhaS
MLDGMJPK_00137	CDS	852				hypothetical protein
MLDGMJPK_00138	CDS	1164	yycB		COG2807	putative transporter YycB
MLDGMJPK_00139	CDS	1029	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
MLDGMJPK_00140	CDS	1164	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
MLDGMJPK_00141	CDS	1446	cfiB	6.4.1.7	COG0439	2-oxoglutarate carboxylase small subunit
MLDGMJPK_00142	CDS	252				hypothetical protein
MLDGMJPK_00143	CDS	720	bpt	2.3.2.29	COG2935	Aspartate/glutamate leucyltransferase
MLDGMJPK_00144	CDS	807				hypothetical protein
MLDGMJPK_00145	CDS	3018	mdtC			Multidrug resistance protein MdtC
MLDGMJPK_00146	CDS	741	czcB			Cobalt-zinc-cadmium resistance protein CzcB
MLDGMJPK_00147	CDS	1275				hypothetical protein
MLDGMJPK_00148	CDS	1797	lepA	3.6.5.-	COG0481	Elongation factor 4
MLDGMJPK_00149	CDS	645				hypothetical protein
MLDGMJPK_00150	CDS	576				hypothetical protein
